Time(s),Distance(m)
0.000,0.120000
0.033,0.120000
0.067,0.119753
0.100,0.119926
0.134,0.120100
0.167,0.119684
0.200,0.119860
0.234,0.120038
0.267,0.119803
0.301,0.119985
0.334,0.119985
0.368,0.119755
0.401,0.119940
0.434,0.120126
0.468,0.119715
0.501,0.119903
0.535,0.120093
0.568,0.119875
0.601,0.119875
0.635,0.119660
0.668,0.119855
0.702,0.120052
0.735,0.119646
0.768,0.119844
0.802,0.120044
0.835,0.119842
0.869,0.119842
0.902,0.119642
0.935,0.119848
0.969,0.119446
1.002,0.119653
1.036,0.119862
1.069,0.119462
1.103,0.119673
1.136,0.119487
1.169,0.119487
1.203,0.119701
1.236,0.119520
1.270,0.119520
1.303,0.119342
1.336,0.119562
1.370,0.119168
1.403,0.119389
1.437,0.119220
1.470,0.119220
1.503,0.119054
1.537,0.119281
1.570,0.119281
1.604,0.119120
1.637,0.119350
1.670,0.118962
1.704,0.119194
1.737,0.118807
1.771,0.119041
1.804,0.118892
1.838,0.118892
1.871,0.118746
1.904,0.118986
1.938,0.118603
1.971,0.118845
2.005,0.118464
2.038,0.118327
2.071,0.118327
2.105,0.118573
2.138,0.118442
2.172,0.118065
2.205,0.118315
2.238,0.117939
2.272,0.118190
2.305,0.118069
2.339,0.118069
2.372,0.117951
2.406,0.117580
2.439,0.117580
2.472,0.117467
2.506,0.117357
2.539,0.117619
2.573,0.117251
2.606,0.117514
2.639,0.117414
2.673,0.117049
2.706,0.117316
2.740,0.116953
2.773,0.117222
2.806,0.116860
2.840,0.116499
2.873,0.116771
2.907,0.116685
2.940,0.116327
2.973,0.116327
3.007,0.116246
3.040,0.115890
3.074,0.115534
3.107,0.115814
3.141,0.115814
3.174,0.115742
3.207,0.115389
3.241,0.115673
3.274,0.115322
3.308,0.115258
3.341,0.115258
3.374,0.115198
3.408,0.114851
3.441,0.115141
3.475,0.114796
3.508,0.114744
3.541,0.114401
3.575,0.114401
3.608,0.114354
3.642,0.114014
3.675,0.114312
3.708,0.113973
3.742,0.113935
3.775,0.113935
3.809,0.113598
3.842,0.113566
3.876,0.113232
3.909,0.113232
3.942,0.113205
3.976,0.112873
4.009,0.113181
4.043,0.112852
4.076,0.112523
4.109,0.112834
4.143,0.112506
4.176,0.112180
4.210,0.112494
4.243,0.112169
4.276,0.111846
4.310,0.111840
4.343,0.111519
4.377,0.111519
4.410,0.111519
4.444,0.111201
4.477,0.110884
4.510,0.110891
4.544,0.110891
4.577,0.110577
4.611,0.110590
4.644,0.110278
4.677,0.110278
4.711,0.110297
4.744,0.109988
4.778,0.109680
4.811,0.109706
4.844,0.109706
4.878,0.109401
4.911,0.109098
4.945,0.108795
4.978,0.108831
5.011,0.108831
5.045,0.108531
5.078,0.108232
5.112,0.108276
5.145,0.108276
5.179,0.107980
5.212,0.107686
5.245,0.107392
5.279,0.107446
5.312,0.107155
5.346,0.107155
5.379,0.106866
5.412,0.106578
5.446,0.106641
5.479,0.106641
5.513,0.106357
5.546,0.106073
5.579,0.105791
5.613,0.105509
5.646,0.105864
5.680,0.105585
5.713,0.105307
5.746,0.105030
5.780,0.104755
5.813,0.104481
5.847,0.104481
5.880,0.104208
5.914,0.103936
5.947,0.104028
5.980,0.104028
6.014,0.103760
6.047,0.103493
6.081,0.103227
6.114,0.102963
6.147,0.102963
6.181,0.102700
6.214,0.102438
6.248,0.102177
6.281,0.101918
6.314,0.101660
6.348,0.101404
6.381,0.101149
6.415,0.101523
6.448,0.101270
6.481,0.101018
6.515,0.100769
6.548,0.100520
6.582,0.100273
6.615,0.100273
6.649,0.100027
6.682,0.099783
6.715,0.099540
6.749,0.099299
6.782,0.099059
6.816,0.099059
6.849,0.098820
6.882,0.098199
6.916,0.098348
6.949,0.097727
6.983,0.097727
7.016,0.097494
7.049,0.097262
7.083,0.097032
7.116,0.096804
7.150,0.096577
7.183,0.096351
7.217,0.096351
7.250,0.096127
7.283,0.095905
7.317,0.095290
7.350,0.095070
7.384,0.094852
7.417,0.094852
7.450,0.094635
7.484,0.094420
7.517,0.094207
7.551,0.093995
7.584,0.093596
7.617,0.093385
7.651,0.093176
7.684,0.092969
7.718,0.092763
7.751,0.092156
7.784,0.092156
7.818,0.091953
7.851,0.091751
7.885,0.091552
7.918,0.091354
7.952,0.090948
7.985,0.090751
8.018,0.090556
8.052,0.090556
8.085,0.090363
8.119,0.089762
8.152,0.089572
8.185,0.089384
8.219,0.089197
8.252,0.088786
8.286,0.088600
8.319,0.088417
8.352,0.088235
8.386,0.087641
8.419,0.087462
8.453,0.087462
8.486,0.086870
8.519,0.086694
8.553,0.086521
8.586,0.085931
8.620,0.085931
8.653,0.085761
8.687,0.085593
8.720,0.085007
8.753,0.085007
8.787,0.084842
8.820,0.084257
8.854,0.084096
8.887,0.084096
8.920,0.083514
8.954,0.083356
8.987,0.083200
9.021,0.082621
9.054,0.082621
9.087,0.082044
9.121,0.081893
9.154,0.081744
9.188,0.081170
9.221,0.081170
9.255,0.080597
9.288,0.080454
9.321,0.080454
9.355,0.079883
9.388,0.079744
9.422,0.079314
9.455,0.079176
9.488,0.079040
9.522,0.078475
9.555,0.078475
9.589,0.077911
9.622,0.077781
9.655,0.077781
9.689,0.077220
9.722,0.077094
9.756,0.076536
9.789,0.076536
9.822,0.075979
9.856,0.075859
9.889,0.075423
9.923,0.075305
9.956,0.075190
9.990,0.074753
10.023,0.074202
10.056,0.074090
10.090,0.073652
10.123,0.073542
10.157,0.072996
10.190,0.072996
10.223,0.072451
10.257,0.072348
10.290,0.071807
10.324,0.071807
10.357,0.071268
10.390,0.071172
10.424,0.070730
10.457,0.070194
10.491,0.070102
10.524,0.069659
10.557,0.069570
10.591,0.069039
10.624,0.069039
10.658,0.068511
10.691,0.068511
10.725,0.067984
10.758,0.067460
10.791,0.067460
10.825,0.066937
10.858,0.066937
10.892,0.066416
10.925,0.065898
10.958,0.065898
10.992,0.065381
11.025,0.064935
11.059,0.064867
11.092,0.064355
11.125,0.064355
11.159,0.064355
11.192,0.064355
11.226,0.064355
11.259,0.064355
11.293,0.064355
11.326,0.064355
11.359,0.064355
11.393,0.064355
11.426,0.064355
11.460,0.064355
11.493,0.064355
11.526,0.064355
11.560,0.064355
11.593,0.064355
11.627,0.064355
11.660,0.064355
11.693,0.064355
11.727,0.064355
11.760,0.064355
11.794,0.064355
11.827,0.064355
11.860,0.064355
11.894,0.064355
11.927,0.064355
11.961,0.064355
11.994,0.064355
12.028,0.064355
12.061,0.064355
12.094,0.064355
12.128,0.064355
12.161,0.064355
12.195,0.064355
12.228,0.064355
12.261,0.064355
12.295,0.064355
12.328,0.064355
12.362,0.064355
12.395,0.064355
12.428,0.064355
12.462,0.064355
12.495,0.064355
12.529,0.064355
12.562,0.064355
12.595,0.064355
12.629,0.064355
12.662,0.064355
12.696,0.064355
12.729,0.064355
12.763,0.064355
12.796,0.064355
12.829,0.064355
12.863,0.064355
12.896,0.064355
12.930,0.064355
12.963,0.064355
12.996,0.064355
13.030,0.064355
13.063,0.064355
13.097,0.064355
13.130,0.064355
13.163,0.064355
13.197,0.064355
13.230,0.064355
13.264,0.064355
13.297,0.064355
13.331,0.064355
13.364,0.064355
13.397,0.064355
13.431,0.064355
13.464,0.064355
13.498,0.064355
13.531,0.064355
13.564,0.064355
13.598,0.064355
13.631,0.064355
13.665,0.064355
13.698,0.064355
13.731,0.064355
13.765,0.064355
13.798,0.064355
13.832,0.064355
13.865,0.064355
13.898,0.064355
13.932,0.064355
13.965,0.064355
13.999,0.064355
14.032,0.064355
14.066,0.064355
14.099,0.064355
14.132,0.064355
14.166,0.064355
14.199,0.064355
14.233,0.064355
14.266,0.064355
14.299,0.064355
14.333,0.064355
14.366,0.064355
14.400,0.064355
14.433,0.064355
14.466,0.064355
14.500,0.064355
14.533,0.064355
14.567,0.064355
