Time(s),Distance(m)
0.000,0.119934
0.012,0.119934
0.024,0.119934
0.036,0.119934
0.048,0.119935
0.060,0.119935
0.072,0.119937
0.084,0.119938
0.096,0.119941
0.109,0.119943
0.121,0.119946
0.133,0.119949
0.145,0.119953
0.157,0.119956
0.169,0.119959
0.181,0.119962
0.193,0.119965
0.205,0.119968
0.217,0.119971
0.229,0.119973
0.241,0.119976
0.253,0.119978
0.265,0.119979
0.277,0.119981
0.289,0.119982
0.302,0.119983
0.314,0.119984
0.326,0.119985
0.338,0.119986
0.350,0.119987
0.362,0.119987
0.374,0.119987
0.386,0.119987
0.398,0.119987
0.410,0.119987
0.422,0.119986
0.434,0.119986
0.446,0.119985
0.458,0.119984
0.470,0.119983
0.482,0.119982
0.494,0.119981
0.507,0.119979
0.519,0.119978
0.531,0.119976
0.543,0.119974
0.555,0.119972
0.567,0.119969
0.579,0.119967
0.591,0.119964
0.603,0.119961
0.615,0.119959
0.627,0.119955
0.639,0.119952
0.651,0.119949
0.663,0.119945
0.675,0.119942
0.687,0.119938
0.699,0.119934
0.712,0.119930
0.724,0.119925
0.736,0.119921
0.748,0.119916
0.760,0.119911
0.772,0.119906
0.784,0.119901
0.796,0.119896
0.808,0.119891
0.820,0.119885
0.832,0.119879
0.844,0.119873
0.856,0.119867
0.868,0.119861
0.880,0.119855
0.892,0.119848
0.905,0.119842
0.917,0.119835
0.929,0.119828
0.941,0.119821
0.953,0.119813
0.965,0.119806
0.977,0.119798
0.989,0.119790
1.001,0.119782
1.013,0.119774
1.025,0.119766
1.037,0.119758
1.049,0.119749
1.061,0.119740
1.073,0.119732
1.085,0.119723
1.097,0.119713
1.110,0.119704
1.122,0.119695
1.134,0.119685
1.146,0.119675
1.158,0.119665
1.170,0.119655
1.182,0.119645
1.194,0.119634
1.206,0.119624
1.218,0.119613
1.230,0.119602
1.242,0.119591
1.254,0.119580
1.266,0.119568
1.278,0.119557
1.290,0.119545
1.303,0.119533
1.315,0.119521
1.327,0.119509
1.339,0.119497
1.351,0.119484
1.363,0.119472
1.375,0.119459
1.387,0.119446
1.399,0.119433
1.411,0.119420
1.423,0.119406
1.435,0.119393
1.447,0.119379
1.459,0.119365
1.471,0.119351
1.483,0.119337
1.495,0.119323
1.508,0.119308
